Symbol,Sector,Correlation,Cap_Category
HIL,NIFTY 100,0.938,Unknown
HINDALCO,NIFTY ALPHA 50,0.9662,Large Cap
HINDCOPPER,NIFTY INDIA MFG,0.9342,Large Cap
HINDMOTORS,NIFTY CPSE,0.7622,Micro Cap
HINDUNILVR,NIFTY FMCG,0.9373,Large Cap
HINDWAREAP,NIFTY COMMODITIES,0.9595,Small Cap
HINDZINC,NIFTY 500,0.9172,Large Cap
HISARMETAL,NIFTY 500,0.9139,Micro Cap
HITECH,NIFTY COMMODITIES,0.97,Small Cap
HITECHCORP,NIFTY ALPHA 50,0.9498,Micro Cap
HITECHGEAR,NIFTY LARGEMID250,0.8609,Small Cap
HLVLTD,NIFTY CPSE,0.8778,Small Cap
HMVL,NIFTY INDIA MFG,0.8305,Micro Cap
HNDFDS,NIFTY 500,0.9102,Mid Cap
HNGSNGBEES,NIFTY INDIA MFG,0.6659,Unknown
HOMEFIRST,NIFTY ENERGY,0.8557,Mid Cap
HONAUT,NIFTY FIN SERVICE,0.9426,Large Cap
HOVS,NIFTY LARGEMID250,0.7751,Unknown
HSCL,NIFTY CONSR DURBL,0.5684,Large Cap
HUHTAMAKI,NIFTY HEALTHCARE,0.7459,Small Cap
IBREALEST,NIFTY IND DIGITAL,0.7617,Unknown
ICICI500,NIFTY 500,0.9986,Unknown
ICICIAUTO,NIFTY AUTO,0.9991,Unknown
ICICIB22,NIFTY CPSE,0.9794,Unknown
ICICIBANK,NIFTY 50,0.9693,Large Cap
ICICIBANKN,NIFTY BANK,0.9996,Unknown
ICICIBANKP,NIFTY BANK,0.9821,Unknown
ICICICONSU,NIFTY CONSUMPTION,0.9955,Unknown
ICICIGOLD,NIFTY FMCG,0.8043,Unknown
ICICILOVOL,NIFTY 50,0.9925,Unknown
ICICIMOM30,NIFTY LARGEMID250,0.937,Unknown
ICICINF100,NIFTY 500,0.9964,Unknown
ICICINIFTY,NIFTY 500,0.9987,Unknown
ICICIPHARM,NIFTY HEALTHCARE,0.9905,Unknown
ICICISILVE,NIFTY IT,0.8444,Unknown
ICICITECH,NIFTY IT,0.9989,Unknown
IDBI,NIFTY LARGEMID250,0.9134,Large Cap
IDBIGOLD,NIFTY FMCG,0.8271,Unknown
IDFCFIRSTB,NIFTY 500,0.5974,Large Cap
IEX,NIFTY ALPHA 50,0.9509,Mid Cap
IFBAGRO,NIFTY LARGEMID250,0.9536,Small Cap
IFBIND,NIFTY LARGEMID250,0.9407,Mid Cap
IFCI,NIFTY ALPHA 50,0.8609,Mid Cap
IGARASHI,NIFTY ALPHA 50,0.7841,Small Cap
IGL,NIFTY FIN SERVICE,0.8582,Large Cap
IIFL,NIFTY 500,0.9195,Large Cap
IIFLWAM,NIFTY CPSE,0.9079,Unknown
IMPAL,NIFTY 500,0.9058,Small Cap
IMPEXFERRO,NIFTY INFRA,0.6769,Micro Cap
INCREDIBLE,NIFTY INDIA MFG,0.8111,Micro Cap
INDBANK,NIFTY ALPHA 50,0.9224,Micro Cap
INDIACEM,NIFTY ALPHA 50,0.9149,Mid Cap
INDIANB,NIFTY CPSE,0.8019,Large Cap
INDIGO,NIFTY FIN SERVICE,0.9101,Large Cap
INDOAMIN,NIFTY INFRA,0.878,Small Cap
INDOBORAX,NIFTY COMMODITIES,0.9131,Small Cap
INDORAMA,NIFTY ALPHA 50,0.9022,Small Cap
INDOTECH,NIFTY ALPHA 50,0.8455,Small Cap
INDRAMEDCO,NIFTY ALPHA 50,0.8334,Small Cap
INDTERRAIN,NIFTY CPSE,0.5671,Micro Cap
INDUSINDBK,NIFTY CPSE,0.4453,Large Cap
INEOSSTYRO,NIFTY INDIA MFG,0.826,Unknown
INFIBEAM,NIFTY IND DIGITAL,0.8791,Mid Cap
INFRABEES,NIFTY 500,0.9906,Unknown
INFY,NIFTY IT,0.9938,Large Cap
INGERRAND,NIFTY CPSE,0.8085,Mid Cap
INOXWIND,NIFTY ALPHA 50,0.9365,Large Cap
INSECTICID,NIFTY AUTO,0.785,Small Cap
INTENTECH,NIFTY ALPHA 50,0.8972,Micro Cap
INTLCONV,NIFTY ALPHA 50,0.8459,Small Cap
INVENTURE,NIFTY IT,0.8508,Micro Cap
IOC,NIFTY IND DIGITAL,0.8839,Large Cap
IONEXCHANG,NIFTY CONSUMPTION,0.729,Small Cap
IRB,NIFTY ALPHA 50,0.9167,Large Cap
IRFC,NIFTY IND DIGITAL,0.8751,Large Cap
ISEC,NIFTY IT,0.8587,Large Cap
ISGEC,Unassigned,0.3886,Mid Cap
ISMTLTD,NIFTY ALPHA 50,0.8645,Unknown
ITBEES,NIFTY IT,0.9992,Unknown
ITC,NIFTY CPSE,0.7529,Large Cap
ITDC,NIFTY 500,0.8395,Mid Cap
ITDCEM,NIFTY 500,0.7262,Unknown
ITI,NIFTY IND DIGITAL,0.7845,Large Cap
IVC,NIFTY ALPHA 50,0.8994,Micro Cap
IVP,NIFTY 500,0.8353,Micro Cap
IVZINGOLD,NIFTY FMCG,0.8295,Unknown
IVZINNIFTY,NIFTY 500,0.9974,Unknown
IWEL,NIFTY HEALTHCARE,0.8123,Mid Cap
IZMO,NIFTY ALPHA 50,0.8871,Small Cap
J&KBANK,NIFTY LARGEMID250,0.9182,Mid Cap
JAGRAN,NIFTY CONSR DURBL,0.6881,Small Cap
JAGSNPHARM,NIFTY LARGEMID250,0.8891,Small Cap
JAIBALAJI,NIFTY IT,0.9322,Mid Cap
JAICORPLTD,NIFTY CONSUMPTION,0.8479,Small Cap
JAIPURKURT,NIFTY HEALTHCARE,0.6425,Micro Cap
JAMNAAUTO,NIFTY 500,0.948,Small Cap
JASH,NIFTY ENERGY,0.9016,Small Cap
JAYAGROGN,NIFTY 500,0.8824,Small Cap
JAYBARMARU,NIFTY 500,0.8785,Small Cap
JAYNECOIND,NIFTY ALPHA 50,0.919,Mid Cap
JAYSREETEA,NIFTY ALPHA 50,0.9348,Micro Cap
JBCHEPHARM,NIFTY ALPHA 50,0.9536,Large Cap
JBFIND,NIFTY INDIA MFG,0.6368,Micro Cap
JBMA,NIFTY INFRA,0.8564,Mid Cap
JCHAC,NIFTY INDIA MFG,0.7905,Small Cap
JETFREIGHT,NIFTY IT,0.6505,Micro Cap
JHS,NIFTY 500,0.8484,Micro Cap
JINDALPHOT,NIFTY ALPHA 50,0.8187,Small Cap
JINDALPOLY,NIFTY ALPHA 50,0.9718,Small Cap
JINDALSTEL,NIFTY ALPHA 50,0.9529,Large Cap
JISLDVREQS,NIFTY ALPHA 50,0.869,Small Cap
JKIL,NIFTY CPSE,0.7776,Small Cap
JKLAKSHMI,NIFTY 500,0.8705,Mid Cap
JKPAPER,NIFTY ENERGY,0.9261,Mid Cap
JKTYRE,NIFTY 500,0.9278,Mid Cap
JMA,NIFTY ALPHA 50,0.9393,Micro Cap
JMCPROJECT,NIFTY LARGEMID250,0.87,Unknown
JMFINANCIL,NIFTY AUTO,0.4933,Mid Cap
JOCIL,NIFTY IND DIGITAL,0.8141,Micro Cap
JPASSOCIAT,NIFTY ALPHA 50,0.9181,Small Cap
JPPOWER,NIFTY ALPHA 50,0.8957,Mid Cap
JSLHISAR,NIFTY ALPHA 50,0.9633,Unknown
JSWENERGY,NIFTY ALPHA 50,0.9216,Large Cap
JSWSTEEL,NIFTY 100,0.9575,Large Cap
JTLINFRA,NIFTY HEALTHCARE,0.8218,Unknown
JUBLFOOD,NIFTY IT,0.9574,Large Cap
JUBLINGREA,NIFTY FIN SERVICE,0.6971,Mid Cap
JUBLPHARMA,Unassigned,0.3426,Mid Cap
JUNIORBEES,NIFTY 500,0.9956,Unknown
JUSTDIAL,NIFTY IND DIGITAL,0.8594,Mid Cap
JYOTHYLAB,NIFTY IND DIGITAL,0.6507,Mid Cap
KABRAEXTRU,NIFTY ALPHA 50,0.8972,Small Cap
KAKATCEM,NIFTY CONSUMPTION,0.8373,Micro Cap
KANANIIND,NIFTY IND DIGITAL,0.6865,Micro Cap
KANSAINER,NIFTY IND DIGITAL,0.7455,Mid Cap
KARURVYSYA,NIFTY CPSE,0.6177,Large Cap
KAUSHALYA,NIFTY ALPHA 50,0.8528,Micro Cap
KAVVERITEL,NIFTY HEALTHCARE,0.6446,Unknown
KAYA,NIFTY CPSE,0.6647,Small Cap
KCP,NIFTY 500,0.904,Small Cap
KCPSUGIND,NIFTY ALPHA 50,0.9076,Micro Cap
KDDL,NIFTY CPSE,0.8922,Small Cap
KEC,NIFTY CONSUMPTION,0.9244,Mid Cap
KECL,NIFTY IND DIGITAL,0.8571,Small Cap
KELLTONTEC,NIFTY IND DIGITAL,0.8706,Small Cap
KESORAMIND,NIFTY 500,0.7489,Micro Cap
KHADIM,NIFTY CPSE,0.833,Micro Cap
KHANDSE,NIFTY CPSE,0.8022,Micro Cap
KILITCH,NIFTY FMCG,0.8282,Small Cap
KIMS,NIFTY HEALTHCARE,0.8368,Large Cap
KIRIINDUS,NIFTY FMCG,0.7492,Small Cap
KIRLOSBROS,NIFTY 500,0.8767,Mid Cap
KIRLOSENG,NIFTY 500,0.6259,Mid Cap
KIRLOSIND,NIFTY 500,0.9278,Small Cap
KITEX,NIFTY IND DIGITAL,0.8743,Small Cap
KKCL,NIFTY INDIA MFG,0.7048,Small Cap
KMSUGAR,NIFTY ALPHA 50,0.9253,Micro Cap
KNRCON,NIFTY ALPHA 50,0.9663,Small Cap
KOHINOOR,NIFTY INDIA MFG,0.7922,Micro Cap
KOKUYOCMLN,NIFTY INDIA MFG,0.8171,Small Cap
KOLTEPATIL,NIFTY 500,0.8155,Small Cap
KOPRAN,NIFTY ALPHA 50,0.9612,Small Cap
KOTAKALPHA,NIFTY ALPHA 50,0.9929,Unknown
KOTAKBANK,NIFTY FIN SERVICE,0.9682,Large Cap
KOTAKBKETF,NIFTY BANK,0.986,Unknown
KOTAKCONS,NIFTY CONSUMPTION,0.7021,Unknown
KOTAKGOLD,NIFTY GS COMPSITE,0.7203,Unknown
KOTAKIT,NIFTY IT,0.9971,Unknown
KOTAKLOVOL,NIFTY FIN SERVICE,0.9007,Unknown
KOTAKMID50,NIFTY 500,0.9494,Unknown
KOTAKMNC,NIFTY CONSR DURBL,0.5272,Unknown
KOTAKNIFTY,NIFTY LARGEMID250,0.9835,Unknown
KOTAKNV20,NIFTY 500,0.9934,Unknown
KOTARISUG,NIFTY CONSUMPTION,0.9237,Micro Cap
KOTHARIPET,NIFTY LARGEMID250,0.8955,Small Cap
KOTHARIPRO,NIFTY CPSE,0.8001,Micro Cap
KOVAI,NIFTY IT,0.7471,Small Cap
KPITTECH,NIFTY ENERGY,0.9384,Large Cap
KPRMILL,NIFTY ALPHA 50,0.9318,Large Cap
KRBL,NIFTY HEALTHCARE,0.5332,Mid Cap
KREBSBIO,NIFTY ALPHA 50,0.8576,Micro Cap
KRIDHANINF,NIFTY LARGEMID250,0.6513,Micro Cap
KRISHANA,NIFTY ENERGY,0.9133,Small Cap
KRITI,NIFTY ALPHA 50,0.8599,Micro Cap
KRITIKA,NIFTY LARGEMID250,0.8705,Micro Cap
KRSNAA,NIFTY IND DIGITAL,0.6376,Small Cap
KSB,NIFTY INFRA,0.8776,Mid Cap
KSCL,NIFTY LARGEMID250,0.8558,Mid Cap
KSL,NIFTY CONSUMPTION,0.8814,Small Cap
KTKBANK,NIFTY CPSE,0.7011,Mid Cap
L&TFH,NIFTY LARGEMID250,0.9432,Unknown
LAGNAM,NIFTY INDIA MFG,0.872,Micro Cap
LAMBODHARA,NIFTY ALPHA 50,0.947,Micro Cap
LANCER,NIFTY FMCG,0.8523,Small Cap
LAOPALA,NIFTY ALPHA 50,0.9326,Small Cap
LATENTVIEW,NIFTY LARGEMID250,0.915,Mid Cap
LAXMIMACH,NIFTY 500,0.9366,Unknown
LEMONTREE,NIFTY CPSE,0.8176,Mid Cap
LGBBROSLTD,NIFTY 500,0.8632,Mid Cap
LIBAS,NIFTY LARGEMID250,0.4598,Micro Cap
LIBERTSHOE,NIFTY HEALTHCARE,0.8595,Small Cap
LICHSGFIN,NIFTY LARGEMID250,0.908,Large Cap
LICI,NIFTY INDIA MFG,0.7305,Large Cap
LICNETFGSC,NIFTY GS COMPSITE,0.7834,Unknown
LICNETFN50,NIFTY 50,0.9893,Unknown
LICNETFSEN,NIFTY 50,0.9857,Unknown
LICNFNHGP,NIFTY 500,0.9907,Unknown
LIKHITHA,NIFTY COMMODITIES,0.6919,Small Cap
LINC,NIFTY CPSE,0.7933,Small Cap
LINCOLN,NIFTY ALPHA 50,0.9364,Small Cap
LINDEINDIA,NIFTY INFRA,0.9221,Large Cap
LIQUIDBEES,Unassigned,0.1793,Unknown
LIQUIDETF,Unassigned,0.0066,Unknown
LODHA,NIFTY INFRA,0.828,Large Cap
LOVABLE,NIFTY ALPHA 50,0.9263,Micro Cap
LSIL,NIFTY CPSE,0.8005,Unknown
LTI,NIFTY IT,0.9901,Unknown
LTTS,NIFTY IT,0.9739,Large Cap
LUMAXTECH,NIFTY CONSUMPTION,0.8651,Mid Cap
LUXIND,NIFTY LARGEMID250,0.9087,Small Cap
LXCHEM,NIFTY ALPHA 50,0.842,Mid Cap
LYKALABS,NIFTY ALPHA 50,0.8533,Micro Cap
LYPSAGEMS,NIFTY CPSE,0.6922,Micro Cap
M&MFIN,NIFTY LARGEMID250,0.9544,Large Cap
MACPOWER,NIFTY CONSUMPTION,0.8799,Small Cap
MADHAV,NIFTY 500,0.8387,Micro Cap
MADRASFERT,NIFTY CONSUMPTION,0.8399,Small Cap
MAESGETF,NIFTY 50,0.9946,Unknown
MAFANG,NIFTY IND DIGITAL,0.7654,Unknown
MAGADSUGAR,NIFTY ALPHA 50,0.8887,Small Cap
MAGNUM,NIFTY CONSUMPTION,0.8934,Micro Cap
MAHABANK,NIFTY LARGEMID250,0.928,Large Cap
MAHASTEEL,NIFTY LARGEMID250,0.5058,Small Cap
MAHESHWARI,Unassigned,0.2666,Micro Cap
MAHINDCIE,NIFTY 500,0.8583,Unknown
MAHKTECH,NIFTY IND DIGITAL,0.7078,Unknown
MAHLIFE,NIFTY CPSE,0.8514,Mid Cap
MAHLOG,NIFTY 500,0.8441,Small Cap
MAHSCOOTER,NIFTY FIN SERVICE,0.9085,Mid Cap
MAHSEAMLES,NIFTY INDIA MFG,0.84,Mid Cap
MALLCOM,NIFTY IND DIGITAL,0.7762,Small Cap
MALUPAPER,NIFTY INDIA MFG,0.837,Micro Cap
MAMFGETF,NIFTY INDIA MFG,0.9973,Unknown
MANAKALUCO,NIFTY ALPHA 50,0.937,Micro Cap
MANAKSIA,NIFTY ALPHA 50,0.9108,Micro Cap
MANAPPURAM,NIFTY IND DIGITAL,0.8936,Large Cap
MANGCHEFER,NIFTY 500,0.8389,Small Cap
MANINDS,NIFTY 500,0.8794,Small Cap
MANINFRA,NIFTY ALPHA 50,0.8972,Mid Cap
MANORAMA,NIFTY CONSUMPTION,0.83,Mid Cap
MANORG,NIFTY IT,0.9249,Micro Cap
MANUGRAPH,NIFTY CPSE,0.7873,Micro Cap
MANXT50,NIFTY 500,0.9919,Unknown
MANYAVAR,NIFTY CONSUMPTION,0.9248,Mid Cap
MAPMYINDIA,NIFTY IT,0.7467,Mid Cap
MARALOVER,NIFTY ALPHA 50,0.9247,Micro Cap
MARATHON,NIFTY INDIA MFG,0.8441,Small Cap
MARICO,NIFTY 100,0.959,Large Cap
MARSHALL,NIFTY IT,0.6822,Micro Cap
MARUTI,NIFTY CONSUMPTION,0.8634,Large Cap
MASPTOP50,NIFTY IT,0.8783,Unknown
MATRIMONY,NIFTY IND DIGITAL,0.8003,Small Cap
MAXHEALTH,NIFTY INFRA,0.9461,Large Cap
MAXVIL,NIFTY CONSUMPTION,0.9222,Small Cap
MAYURUNIQ,NIFTY 500,0.9112,Small Cap
MAZDOCK,NIFTY CONSUMPTION,0.8154,Large Cap
MCL,NIFTY HEALTHCARE,0.6673,Micro Cap
MCX,NIFTY INDIA MFG,0.7347,Large Cap
MEDPLUS,NIFTY IT,0.873,Mid Cap
MENONBE,NIFTY 500,0.8629,Small Cap
MEP,NIFTY IND DIGITAL,0.7569,Micro Cap
METROBRAND,NIFTY CONSUMPTION,0.8341,Large Cap
METROPOLIS,NIFTY HEALTHCARE,0.8042,Mid Cap
MFL,NIFTY ENERGY,0.7635,Unknown
MFSL,NIFTY 500,0.8786,Large Cap
MGEL,NIFTY ENERGY,0.8963,Small Cap
MGL,NIFTY LARGEMID250,0.6772,Mid Cap
MHLXMIRU,NIFTY LARGEMID250,0.7293,Micro Cap
MHRIL,NIFTY 500,0.8892,Mid Cap
MIDHANI,NIFTY IT,0.4749,Mid Cap
MINDTECK,NIFTY ALPHA 50,0.8553,Small Cap
MIRCELECTR,NIFTY ALPHA 50,0.8675,Small Cap
MITTAL,INDIA VIX,0.7368,Micro Cap
MMFL,NIFTY 500,0.9328,Small Cap
MMP,NIFTY CPSE,0.9225,Small Cap
MOGSEC,NIFTY GS COMPSITE,0.8604,Unknown
MOIL,NIFTY INDIA MFG,0.8619,Mid Cap
MOKSH,NIFTY IT,0.7592,Micro Cap
MOL,NIFTY LARGEMID250,0.8299,Small Cap
MOLDTECH,NIFTY LARGEMID250,0.9023,Micro Cap
MOLDTKPAC,NIFTY CONSUMPTION,0.945,Small Cap
MOM100,NIFTY 500,0.9934,Unknown
MOMOMENTUM,NIFTY LARGEMID250,0.9519,Unknown
MONQ50,NIFTY IT,0.8268,Unknown
MOQUALITY,NIFTY ENERGY,0.7633,Unknown
MOTHERSON,NIFTY LARGEMID250,0.9167,Large Cap
MOVALUE,NIFTY ENERGY,0.8058,Unknown
MPHASIS,NIFTY IT,0.9797,Large Cap
MRO-TEK,NIFTY CONSUMPTION,0.9289,Unknown
MSPL,NIFTY ALPHA 50,0.7922,Small Cap
MSTCLTD,NIFTY ALPHA 50,0.9306,Small Cap
MSUMI,NIFTY FMCG,0.9438,Large Cap
MTEDUCARE,NIFTY LARGEMID250,0.7632,Micro Cap
MUKANDLTD,NIFTY ALPHA 50,0.9516,Small Cap
MUNJALAU,NIFTY AUTO,0.6465,Small Cap
MUNJALSHOW,NIFTY LARGEMID250,0.8778,Small Cap
MURUDCERA,NIFTY 500,0.9088,Micro Cap
MUTHOOTCAP,Unassigned,0.2774,Micro Cap
MUTHOOTFIN,NIFTY IT,0.9083,Large Cap
NACLIND,NIFTY ALPHA 50,0.9429,Small Cap
NAGREEKCAP,NIFTY ALPHA 50,0.7187,Micro Cap
NAGREEKEXP,NIFTY ALPHA 50,0.8322,Micro Cap
NAHARCAP,NIFTY LARGEMID250,0.8816,Micro Cap
NAHARINDUS,NIFTY LARGEMID250,0.9284,Micro Cap
NAHARPOLY,NIFTY ENERGY,0.8711,Small Cap
NAHARSPING,NIFTY ALPHA 50,0.9204,Small Cap
NAM-INDIA,NIFTY INDIA MFG,0.8385,Large Cap
NATCOPHARM,NIFTY CONSUMPTION,0.6894,Mid Cap
NATHBIOGEN,NIFTY INDIA MFG,0.856,Micro Cap
NATIONALUM,NIFTY ALPHA 50,0.9322,Large Cap
NAUKRI,NIFTY IT,0.9481,Large Cap
NAVA,NIFTY INDIA MFG,0.8843,Mid Cap
NAVINFLUOR,NIFTY ALPHA 50,0.9509,Large Cap
NAVNETEDUL,NIFTY LARGEMID250,0.8807,Small Cap
NBIFIN,NIFTY ALPHA 50,0.831,Small Cap
NDGL,NIFTY ALPHA 50,0.8823,Micro Cap
NDL,NIFTY ALPHA 50,0.8536,Micro Cap
NECLIFE,NIFTY LARGEMID250,0.9224,Micro Cap
NELCO,NIFTY ENERGY,0.9053,Small Cap
NEOGEN,NIFTY ALPHA 50,0.9441,Small Cap
NESTLEIND,NIFTY FMCG,0.9065,Large Cap
NETF,NIFTY LARGEMID250,0.9715,Unknown
NEULANDLAB,NIFTY CONSUMPTION,0.7133,Large Cap
NFL,NIFTY INDIA MFG,0.8893,Small Cap
NH,NIFTY CONSUMPTION,0.9332,Large Cap
NIBL,NIFTY ALPHA 50,0.9152,Micro Cap
NIFTYQLITY,NIFTY IND DIGITAL,0.732,Unknown
NILKAMAL,NIFTY 500,0.9261,Small Cap
NIPPOBATRY,NIFTY ALPHA 50,0.8499,Micro Cap
NITCO,NIFTY INDIA MFG,0.8404,Small Cap
NITINSPIN,NIFTY ALPHA 50,0.9411,Small Cap
NITIRAJ,NIFTY ENERGY,0.7972,Micro Cap
NLCINDIA,NIFTY CPSE,0.8734,Large Cap
NMDC,NIFTY 500,0.761,Large Cap
NOCIL,NIFTY CONSUMPTION,0.9575,Small Cap
NOIDATOLL,NIFTY ALPHA 50,0.8966,Micro Cap
NOVARTIND,NIFTY INDIA MFG,0.8324,Small Cap
NRBBEARING,NIFTY 500,0.8497,Small Cap
NUCLEUS,NIFTY IND DIGITAL,0.8215,Small Cap
NUVOCO,NIFTY FIN SERVICE,0.7455,Mid Cap
NV20BEES,NIFTY 500,0.9912,Unknown
NXTDIGITAL,NIFTY INDIA MFG,0.8615,Unknown
NYKAA,NIFTY IT,0.7531,Large Cap
OAL,NIFTY IT,0.8654,Small Cap
OBCL,NIFTY IT,0.8332,Micro Cap
OBEROIRLTY,NIFTY ENERGY,0.9599,Large Cap
OCCL,NIFTY LARGEMID250,0.5118,Unknown
OFSS,NIFTY IND DIGITAL,0.9056,Large Cap
OLECTRA,NIFTY ENERGY,0.9012,Mid Cap
OMAXAUTO,NIFTY 500,0.652,Micro Cap
OMAXE,NIFTY LARGEMID250,0.8277,Small Cap
OMINFRAL,NIFTY LARGEMID250,0.902,Small Cap
OMKARCHEM,NIFTY ALPHA 50,0.8795,Micro Cap
ONELIFECAP,NIFTY CPSE,0.7455,Micro Cap
ONEPOINT,NIFTY ENERGY,0.8951,Small Cap
ONGC,NIFTY CPSE,0.8725,Large Cap
ONMOBILE,NIFTY ALPHA 50,0.9303,Small Cap
ONWARDTEC,NIFTY ALPHA 50,0.9247,Small Cap
OPTIEMUS,NIFTY ALPHA 50,0.922,Small Cap
ORBTEXP,NIFTY CPSE,0.776,Small Cap
ORICONENT,NIFTY ALPHA 50,0.9166,Small Cap
ORIENTABRA,NIFTY ALPHA 50,0.9051,Unknown
ORIENTBELL,NIFTY COMMODITIES,0.8428,Micro Cap
ORIENTELEC,NIFTY IT,0.9366,Small Cap
ORIENTHOT,NIFTY CPSE,0.8239,Small Cap
ORIENTLTD,Unassigned,0.3234,Micro Cap
ORIENTPPR,NIFTY INDIA MFG,0.8564,Micro Cap
ORTINLAB,Unassigned,0.2936,Unknown
PAGEIND,NIFTY CONSUMPTION,0.9518,Large Cap
PAISALO,NIFTY IT,0.9369,Small Cap
PALREDTEC,NIFTY ALPHA 50,0.8687,Micro Cap
PANACHE,NIFTY IND DIGITAL,0.7765,Small Cap
PANAMAPET,NIFTY 500,0.9516,Small Cap
PANSARI,NIFTY ALPHA 50,0.5926,Small Cap
PAR,NIFTY IND DIGITAL,0.7509,Micro Cap
PARADEEP,NIFTY BANK,0.8982,Mid Cap
PARAS,NIFTY LARGEMID250,0.7461,Mid Cap
PATELENG,NIFTY CPSE,0.8488,Small Cap
PATINTLOG,NIFTY LARGEMID250,0.8187,Micro Cap
PDMJEPAPER,NIFTY 500,0.9493,Small Cap
PEL,NIFTY INDIA MFG,0.8031,Unknown
PETRONET,NIFTY INDIA MFG,0.8591,Large Cap
PFOCUS,NIFTY 500,0.8902,Mid Cap
PGHH,NIFTY FIN SERVICE,0.9678,Large Cap
PGHL,NIFTY FIN SERVICE,0.8612,Mid Cap
PGIL,NIFTY ALPHA 50,0.8497,Mid Cap
PHOENIXLTD,NIFTY ENERGY,0.9531,Large Cap
PILANIINVS,NIFTY 500,0.8624,Mid Cap
PIONEEREMB,NIFTY ALPHA 50,0.8768,Micro Cap
PITTIENG,NIFTY IND DIGITAL,0.8911,Small Cap
PIXTRANS,NIFTY IND DIGITAL,0.8534,Small Cap
PNB,NIFTY LARGEMID250,0.7636,Large Cap
PNBGILTS,NIFTY ALPHA 50,0.9195,Small Cap
PNCINFRA,NIFTY IND DIGITAL,0.9256,Mid Cap
POKARNA,NIFTY ALPHA 50,0.95,Small Cap
POLYMED,NIFTY IT,0.9405,Mid Cap
POLYPLEX,NIFTY ENERGY,0.9362,Small Cap
